Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
450,Russ Swan*,30,CLE,8,,12,43,34,11,13,2,0,1,1,0,7,2,0.382,0.488,0.529,1.017,0.387,18,1,0,2,0,1,0
451,Bill Swift,32,SFG,109.1,,17,457,416,49,109,12,1,10,8,4,31,62,0.262,0.313,0.368,0.681,0.286,153,12,1,7,2,6,6
452,Greg Swindell*,29,HOU,148.1,,24,623,580,80,175,36,0,20,10,11,26,74,0.302,0.329,0.467,0.796,0.314,271,12,1,9,7,2,9
453,Jeff Tabaka*,30,TOT,41,,39,182,151,29,32,8,3,1,4,1,27,32,0.212,0.33,0.325,0.654,0.261,49,2,0,3,1,3,3
454,Jeff Tabaka*,30,PIT,4,,5,24,16,8,4,2,0,1,0,0,8,2,0.25,0.5,0.563,1.063,0.231,9,0,0,0,0,0,0
455,Jeff Tabaka*,30,SDP,37,,34,158,135,21,28,6,3,0,4,1,19,30,0.207,0.303,0.296,0.6,0.264,40,2,0,3,1,3,3
456,Kevin Tapani,30,MIN,156,,24,672,621,86,181,44,5,13,16,7,39,91,0.291,0.335,0.441,0.776,0.322,274,14,4,2,5,0,6
457,Julián Tavárez,21,CLE,1.2,,1,14,12,8,6,2,0,1,1,0,1,0,0.5,0.5,0.917,1.417,0.417,11,0,0,0,1,1,2
458,Billy Taylor,32,OAK,46.1,,41,195,173,24,38,8,0,4,5,0,18,48,0.22,0.299,0.335,0.634,0.279,58,1,2,1,1,5,2
459,Kerry Taylor,23,SDP,4.1,,1,24,22,4,9,0,1,1,0,0,1,3,0.409,0.458,0.636,1.095,0.444,14,0,1,0,0,0,0
460,Dave Telgheder,27,NYM,10,,6,48,39,8,11,2,1,2,1,0,8,4,0.282,0.404,0.538,0.943,0.273,21,2,0,1,0,2,0
