Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
22,Tim Salmon,25,CAL,AL,2.6,100,435,373,67,107,18,2,23,70,1,3,54,102,0.287,0.382,0.531,0.912,133,0.402,137,198,3,5,0,3,2,*9/H
23,Rubén Sierra#,28,OAK,AL,0.3,110,460,426,71,114,21,1,23,92,8,5,23,64,0.268,0.298,0.484,0.781,106,0.337,101,206,15,0,0,11,4,*9D/H8
24,Tim Wallach,36,LAD,NL,1.9,113,466,414,68,116,21,1,23,78,0,2,46,80,0.28,0.356,0.502,0.859,127,0.374,127,208,12,4,0,2,2,*5/H
25,Moisés Alou,27,MON,NL,5.1,107,471,422,81,143,31,5,22,78,7,6,42,63,0.339,0.397,0.592,0.989,153,0.43,161,250,7,2,0,5,10,*79/H
26,Jay Buhner,29,SEA,AL,2.8,101,436,358,74,100,23,4,21,68,0,1,66,63,0.279,0.394,0.542,0.936,138,0.408,139,194,7,5,2,5,3,*9/DH8
27,Paul O'Neill*,31,NYY,AL,4.3,103,443,368,68,132,25,1,21,83,5,4,72,56,0.359,0.46,0.603,1.064,177,0.457,179,222,16,0,0,3,13,*97H/D
28,Bobby Bonilla#,31,NYM,NL,2.8,108,460,403,60,117,24,1,20,67,1,3,55,101,0.29,0.374,0.504,0.878,128,0.382,128,203,10,0,0,2,9,*5/H
29,Julio Franco,35,CHW,AL,3,112,505,433,72,138,19,2,20,98,8,1,62,75,0.319,0.406,0.51,0.916,137,0.411,141,221,14,5,0,5,4,*D3
30,Tino Martinez*,26,SEA,AL,1.1,97,366,329,42,86,21,0,20,61,1,2,29,52,0.261,0.32,0.508,0.828,109,0.354,102,167,9,1,4,3,2,*3/DH
31,Kirby Puckett,34,MIN,AL,3.6,108,482,439,79,139,32,3,20,112,6,3,28,47,0.317,0.362,0.54,0.902,129,0.395,131,237,11,7,1,7,7,*9D/8
32,Jim Thome*,23,CLE,AL,2,98,369,321,58,86,20,1,20,52,3,3,46,84,0.268,0.359,0.523,0.882,127,0.388,129,168,11,0,1,1,5,*5/H
33,Carlos Baerga#,25,CLE,AL,2.7,103,469,442,81,139,32,2,19,80,8,2,10,45,0.314,0.333,0.525,0.858,119,0.379,120,232,10,6,3,8,1,*4/D
34,Juan González,24,TEX,AL,1,107,463,422,57,116,18,4,19,85,6,4,30,66,0.275,0.33,0.472,0.802,105,0.351,102,199,18,7,0,4,10,*7/H
35,Chris Hoiles,29,BAL,AL,2.8,99,406,332,45,82,10,0,19,53,2,0,63,73,0.247,0.371,0.449,0.82,107,0.366,104,149,6,5,1,4,2,*2/H
36,David Justice*,28,ATL,NL,3.7,104,424,352,61,110,16,2,19,59,2,4,69,45,0.313,0.427,0.531,0.958,147,0.426,157,187,8,2,0,1,5,*9/H
37,Ray Lankford*,27,STL,NL,2.8,109,482,416,89,111,25,5,19,57,11,10,58,113,0.267,0.359,0.488,0.847,121,0.373,124,203,0,4,0,4,3,*8/H
38,Dean Palmer,25,TEX,AL,0,93,371,342,50,84,14,2,19,59,3,4,26,89,0.246,0.302,0.465,0.767,95,0.338,95,159,7,2,0,1,0,*5/H
39,Tony Phillips#,35,DET,AL,4.7,114,538,438,91,123,19,3,19,61,13,5,95,105,0.281,0.409,0.468,0.877,126,0.4,133,205,8,2,0,3,3,*74/DH
40,Danny Tartabull,31,NYY,AL,1,104,470,399,68,102,24,1,19,67,1,1,66,111,0.256,0.36,0.464,0.823,115,0.368,116,185,11,1,0,4,3,*D9/H
41,Greg Vaughn,28,MIL,AL,1.3,95,423,370,59,94,24,1,19,55,9,5,51,93,0.254,0.345,0.478,0.824,107,0.354,99,177,6,1,0,1,6,*7D/8
42,Larry Walker*,27,MON,NL,4.7,103,452,395,76,127,44,2,19,86,15,5,47,74,0.322,0.394,0.587,0.981,151,0.43,157,232,8,4,0,6,5,93/H
43,Todd Zeile,28,STL,NL,1.8,113,477,415,62,111,25,1,19,75,1,3,52,56,0.267,0.348,0.47,0.818,113,0.363,116,195,13,3,0,7,3,*5/H
44,Ken Caminiti#,31,HOU,NL,3.8,111,454,406,63,115,28,2,18,75,4,3,43,71,0.283,0.352,0.495,0.847,123,0.365,120,201,8,2,0,3,13,*5/H
45,Jeff Conine,28,FLA,NL,2.9,115,496,451,60,144,27,6,18,82,1,2,40,92,0.319,0.373,0.525,0.898,130,0.392,131,237,8,1,0,4,4,*73/H
46,Travis Fryman,25,DET,AL,2,114,528,464,66,122,34,5,18,85,2,2,45,128,0.263,0.326,0.474,0.801,104,0.346,97,220,6,5,1,13,1,*5
47,Phil Plantier*,25,SDP,NL,-0.5,96,385,341,44,75,21,0,18,41,3,1,36,91,0.22,0.302,0.44,0.742,93,0.328,89,150,8,5,1,2,6,*7/H
48,Ryan Thompson,26,NYM,NL,0.7,98,379,334,39,75,14,1,18,59,1,1,28,94,0.225,0.301,0.434,0.735,90,0.328,88,145,8,10,3,4,7,*8/H
49,Robin Ventura*,26,CHW,AL,3,109,474,401,57,113,15,1,18,78,3,1,61,69,0.282,0.373,0.459,0.832,116,0.365,111,184,8,2,2,8,15,*5/36H
50,Ryan Klesko*,23,ATL,NL,1.2,92,276,245,42,68,13,3,17,47,1,0,26,48,0.278,0.344,0.563,0.907,130,0.392,130,138,8,1,0,4,3,7H/3
51,Jim Leyritz,30,NYY,AL,1.9,75,293,249,47,66,12,0,17,58,0,0,35,61,0.265,0.365,0.518,0.883,129,0.392,132,129,9,6,0,3,1,2D3/H
52,Eddie Murray#,38,CLE,AL,-0.1,108,467,433,57,110,21,1,17,76,8,4,31,53,0.254,0.302,0.425,0.727,87,0.32,81,184,8,0,0,3,6,*D3
53,Manny Ramírez,22,CLE,AL,1.6,91,336,290,51,78,22,0,17,60,4,2,42,72,0.269,0.357,0.521,0.878,125,0.377,120,151,6,0,0,4,4,*9/HD
54,Reggie Sanders,26,CIN,NL,3.3,107,447,400,66,105,20,8,17,62,21,9,41,114,0.263,0.332,0.48,0.812,110,0.358,108,192,2,2,1,3,1,*9/H
55,Mike Stanley,31,NYY,AL,3.6,82,333,290,54,87,20,0,17,57,0,0,39,56,0.3,0.384,0.545,0.929,141,0.409,144,158,10,2,0,2,2,2/3DH
56,Mickey Tettleton#,33,DET,AL,1.5,107,444,339,57,84,18,2,17,51,0,1,97,98,0.248,0.419,0.463,0.882,128,0.394,130,157,4,5,0,3,10,23D9/H7
57,Harold Baines*,35,BAL,AL,0.6,94,357,326,44,96,12,1,16,54,0,0,30,49,0.294,0.356,0.485,0.84,110,0.363,103,158,9,1,0,0,6,*DH
58,Andre Dawson,39,BOS,AL,-1.1,75,306,292,34,70,18,0,16,48,2,2,9,53,0.24,0.271,0.466,0.737,83,0.31,69,136,15,4,0,1,3,D/H
59,Todd Hundley#,25,NYM,NL,1.3,91,323,291,45,69,10,1,16,42,2,1,25,73,0.237,0.303,0.443,0.746,93,0.333,91,129,3,3,3,1,4,*2H
60,Raúl Mondesi,23,LAD,NL,1.8,112,454,434,63,133,27,8,16,56,11,8,16,78,0.306,0.333,0.516,0.849,123,0.364,121,224,9,2,0,2,5,*98
61,Iván Rodríguez,22,TEX,AL,3.2,99,405,363,56,108,19,1,16,57,6,3,31,42,0.298,0.36,0.488,0.848,118,0.378,120,177,10,7,0,4,5,*2/H
